File Name,Class,Vertex Count,Face Count,Face Type,Edge Count,Bounding Box Size
320.off,,27118,54232,Triangles,81348,"(1.7, 1.7, 1.3)"
321.off,,14995,29986,Triangles,44979,"(1.1, 1.5, 1.1)"
322.off,,14991,29978,Triangles,44967,"(1.1, 1.5, 1.1)"
323.off,,14991,29978,Triangles,44967,"(1.1, 1.5, 1.1)"
324.off,,14812,29620,Triangles,44430,"(1.4, 1.4, 1.4)"
325.off,,14999,29994,Triangles,44991,"(1.1, 1.6, 1.5)"
326.off,,14995,29986,Triangles,44979,"(1.5, 1.3, 1.2)"
327.off,,14937,29870,Triangles,44805,"(1.3, 1.4, 1.2)"
328.off,,14994,29984,Triangles,44976,"(1.1, 1.5, 1.1)"
329.off,,14999,29994,Triangles,44991,"(1.1, 1.5, 1.1)"
33.off,,7349,14698,Triangles,22047,"(1.7, 1.3, 1.3)"
330.off,,15000,29996,Triangles,44994,"(1.1, 1.5, 1.1)"
331.off,,15000,29996,Triangles,44994,"(1.0, 1.6, 1.0)"
332.off,,14997,29990,Triangles,44985,"(1.0, 1.6, 1.0)"
333.off,,14942,29880,Triangles,44820,"(1.0, 1.6, 1.0)"
334.off,,14997,29990,Triangles,44985,"(1.3, 0.9, 1.3)"
335.off,,14995,29986,Triangles,44979,"(1.1, 1.5, 1.1)"
336.off,,15505,31006,Triangles,46509,"(0.8, 1.5, 0.8)"
337.off,,11533,23062,Triangles,34593,"(1.8, 1.7, 1.1)"
338.off,,19403,38802,Triangles,58203,"(1.1, 1.5, 1.2)"
339.off,,15000,29996,Triangles,44994,"(1.0, 1.6, 1.0)"
34.off,,9602,19204,Triangles,28806,"(1.3, 1.6, 1.6)"
340.off,,14997,29990,Triangles,44985,"(1.3, 0.9, 1.3)"
341.off,,1663,3322,Triangles,4983,"(0.5, 0.5, 1.5)"
342.off,,1663,3322,Triangles,4983,"(0.6, 0.6, 1.9)"
343.off,,1663,3322,Triangles,4983,"(0.6, 0.6, 1.8)"
344.off,,3182,6360,Triangles,9540,"(0.5, 1.2, 0.5)"
346.off,,3587,7170,Triangles,10755,"(0.5, 1.2, 0.5)"
347.off,,2623,5242,Triangles,7863,"(0.7, 0.7, 1.8)"
348.off,,2568,5132,Triangles,7698,"(0.2, 1.0, 0.2)"
349.off,,2568,5132,Triangles,7698,"(0.3, 1.8, 0.3)"
35.off,,15136,30268,Triangles,45402,"(1.0, 1.5, 1.0)"
350.off,,8759,17514,Triangles,26271,"(0.3, 0.3, 1.9)"
351.off,,5192,10380,Triangles,15570,"(0.5, 0.5, 1.8)"
352.off,,10400,20796,Triangles,31194,"(0.5, 0.5, 1.6)"
353.off,,1512,3020,Triangles,4530,"(1.8, 0.4, 0.4)"
354.off,,2910,5816,Triangles,8724,"(0.3, 1.2, 0.3)"
355.off,,14994,29984,Triangles,44976,"(0.2, 2.0, 0.2)"
356.off,,14992,29980,Triangles,44970,"(0.2, 2.0, 0.2)"
358.off,,14127,28266,Triangles,42399,"(0.9, 1.2, 0.9)"
36.off,,9076,18152,Triangles,27228,"(1.4, 1.6, 1.3)"
361.off,,14859,29734,Triangles,44601,"(1.0, 1.9, 1.0)"
363.off,,13434,26864,Triangles,40296,"(0.6, 1.7, 0.6)"
364.off,,13548,27100,Triangles,40650,"(1.7, 1.2, 1.1)"
365.off,,13514,27028,Triangles,40542,"(1.7, 1.4, 1.7)"
366.off,,10637,21274,Triangles,31911,"(0.9, 1.8, 0.9)"
367.off,,3900,7800,Triangles,11700,"(1.9, 1.2, 0.9)"
368.off,,11202,22400,Triangles,33600,"(1.1, 1.3, 1.2)"
37.off,,6270,12540,Triangles,18810,"(1.3, 1.3, 1.7)"
370.off,,13920,27836,Triangles,41754,"(1.1, 1.8, 1.1)"
371.off,,14599,29194,Triangles,43791,"(1.1, 1.7, 1.1)"
372.off,,6684,13368,Triangles,20052,"(1.5, 1.2, 0.8)"
373.off,,10556,21112,Triangles,31668,"(0.8, 1.9, 0.8)"
374.off,,14872,29744,Triangles,44616,"(0.7, 1.9, 0.7)"
375.off,,11762,23520,Triangles,35280,"(1.9, 0.7, 1.1)"
376.off,,12568,25132,Triangles,37698,"(2.0, 0.8, 1.6)"
377.off,,15169,30342,Triangles,45513,"(1.1, 1.7, 0.7)"
378.off,,6684,13368,Triangles,20052,"(1.5, 1.2, 0.8)"
379.off,,6923,13842,Triangles,20763,"(1.8, 1.2, 0.9)"
380.off,,9356,18708,Triangles,28062,"(1.1, 1.6, 0.9)"
381.off,,6938,13872,Triangles,20808,"(1.6, 1.1, 0.6)"
382.off,,8078,16152,Triangles,24228,"(0.7, 1.5, 1.3)"
383.off,,13331,26658,Triangles,39987,"(0.6, 1.8, 0.9)"
384.off,,4712,9420,Triangles,14130,"(0.5, 2.0, 1.1)"
385.off,,10436,20868,Triangles,31302,"(1.8, 1.3, 0.5)"
386.off,,2087,4170,Triangles,6255,"(1.6, 1.2, 1.1)"
387.off,,14680,29356,Triangles,44034,"(1.6, 1.5, 0.7)"
388.off,,8411,16818,Triangles,25227,"(1.9, 1.0, 0.7)"
389.off,,9490,18976,Triangles,28464,"(0.6, 1.6, 1.4)"
390.off,,9239,18474,Triangles,27711,"(0.5, 1.7, 1.1)"
391.off,,4315,8626,Triangles,12939,"(0.5, 1.0, 1.7)"
392.off,,8618,17232,Triangles,25848,"(1.8, 1.0, 0.6)"
393.off,,9757,19510,Triangles,29265,"(0.4, 1.4, 1.4)"
394.off,,9009,18014,Triangles,27021,"(1.5, 0.4, 1.3)"
395.off,,11312,22620,Triangles,33930,"(1.8, 1.2, 1.0)"
396.off,,5538,11072,Triangles,16608,"(1.6, 1.4, 0.4)"
397.off,,7268,14532,Triangles,21798,"(0.5, 1.3, 1.6)"
398.off,,1480,2956,Triangles,4434,"(1.4, 0.9, 0.3)"
399.off,,3911,7818,Triangles,11727,"(0.6, 1.6, 1.4)"
4.off,,5676,11348,Triangles,17022,"(0.6, 1.5, 0.7)"
40.off,,15165,30326,Triangles,45489,"(1.0, 1.8, 1.0)"
400.off,,3703,7402,Triangles,11103,"(0.5, 1.0, 1.7)"
41.off,,7016,14028,Triangles,21042,"(1.0, 1.1, 0.3)"
42.off,,4164,8324,Triangles,12486,"(1.3, 0.9, 0.3)"
43.off,,3414,6824,Triangles,10236,"(1.3, 0.2, 0.9)"
44.off,,6288,12572,Triangles,18858,"(1.1, 0.3, 1.2)"
45.off,,5399,10794,Triangles,16191,"(1.2, 0.3, 1.1)"
48.off,,5176,10348,Triangles,15522,"(1.3, 1.0, 0.3)"
49.off,,3110,6220,Triangles,9330,"(1.7, 0.7, 0.3)"
5.off,,15154,30308,Triangles,45462,"(1.0, 1.9, 0.8)"
50.off,,7420,14836,Triangles,22254,"(1.0, 1.1, 0.3)"
51.off,,2858,5712,Triangles,8568,"(1.5, 0.8, 0.3)"
54.off,,7407,14810,Triangles,22215,"(1.0, 0.3, 1.1)"
55.off,,2850,5696,Triangles,8544,"(1.5, 0.3, 0.8)"
56.off,,8771,17538,Triangles,26307,"(1.3, 1.3, 0.4)"
57.off,,7413,14822,Triangles,22233,"(1.0, 1.1, 0.3)"
58.off,,1857,3710,Triangles,5565,"(1.9, 0.2, 0.3)"
59.off,,2895,5786,Triangles,8679,"(1.8, 0.7, 0.3)"
6.off,,10098,20192,Triangles,30288,"(0.5, 1.7, 0.4)"
61.off,,5400,10796,Triangles,16194,"(1.1, 2.0, 0.3)"
62.off,,5619,11234,Triangles,16851,"(1.6, 0.4, 1.9)"
63.off,,5519,11034,Triangles,16551,"(2.0, 0.4, 1.7)"
64.off,,6797,13590,Triangles,20385,"(1.5, 1.8, 0.5)"
65.off,,6448,12892,Triangles,19338,"(1.7, 1.7, 0.4)"
66.off,,7739,15474,Triangles,23211,"(1.7, 1.5, 0.3)"
67.off,,7651,15298,Triangles,22947,"(1.8, 1.6, 0.5)"
68.off,,5583,11162,Triangles,16743,"(1.4, 1.8, 0.4)"
69.off,,6701,13398,Triangles,20097,"(1.4, 1.9, 0.4)"
7.off,,8441,16878,Triangles,25317,"(0.3, 0.6, 1.9)"
70.off,,5631,11258,Triangles,16887,"(1.2, 2.0, 0.4)"
71.off,,5849,11694,Triangles,17541,"(1.6, 2.0, 0.4)"
72.off,,5228,10452,Triangles,15678,"(1.4, 2.0, 0.4)"
73.off,,5109,10214,Triangles,15321,"(1.6, 2.0, 0.4)"
74.off,,5044,10084,Triangles,15126,"(1.4, 2.0, 0.4)"
75.off,,8679,17354,Triangles,26031,"(1.7, 1.7, 0.3)"
76.off,,5923,11842,Triangles,17763,"(1.8, 1.5, 0.5)"
77.off,,6587,13170,Triangles,19755,"(1.7, 0.5, 1.8)"
78.off,,7470,14936,Triangles,22404,"(1.8, 1.8, 0.6)"
79.off,,6689,13374,Triangles,20061,"(1.6, 2.0, 0.6)"
8.off,,11015,22026,Triangles,33039,"(0.7, 0.8, 1.8)"
80.off,,7351,14698,Triangles,22047,"(1.5, 1.9, 0.5)"
81.off,,6370,12736,Triangles,19104,"(0.9, 1.8, 0.7)"
82.off,,8299,16594,Triangles,24891,"(1.1, 1.8, 1.0)"
83.off,,6376,12748,Triangles,19122,"(1.1, 1.9, 0.6)"
84.off,,6850,13696,Triangles,20544,"(0.9, 1.8, 0.9)"
85.off,,8388,16772,Triangles,25158,"(1.1, 1.7, 0.6)"
86.off,,7038,14072,Triangles,21108,"(0.6, 1.8, 0.8)"
87.off,,7470,14936,Triangles,22404,"(1.2, 1.8, 0.9)"
88.off,,8210,16416,Triangles,24624,"(1.5, 1.8, 1.0)"
89.off,,7654,15304,Triangles,22956,"(1.0, 1.8, 0.6)"
9.off,,2639,5274,Triangles,7911,"(0.7, 0.7, 1.8)"
90.off,,7877,15750,Triangles,23625,"(1.1, 1.8, 0.8)"
91.off,,8640,17276,Triangles,25914,"(1.2, 1.8, 0.9)"
92.off,,5867,11730,Triangles,17595,"(1.0, 1.9, 0.6)"
93.off,,8216,16432,Triangles,24648,"(1.5, 1.8, 0.7)"
94.off,,7236,14468,Triangles,21702,"(1.7, 0.6, 1.5)"
95.off,,7355,14706,Triangles,22059,"(1.2, 1.8, 0.5)"
96.off,,8504,17004,Triangles,25506,"(1.4, 1.7, 0.7)"
97.off,,8167,16330,Triangles,24495,"(1.1, 1.7, 0.4)"
98.off,,6154,12304,Triangles,18456,"(0.8, 1.9, 0.8)"
99.off,,6881,13758,Triangles,20637,"(1.3, 1.8, 0.8)"
